rc: 0
Subscribed: 1 (0,)
MQTTExample/LED 0 x: 0.205068, y: 3.433241, orientation: 223.215973
MQTTExample/LED 0 x: 0.210226, y: 3.215345, orientation: 223.218063
MQTTExample/LED 0 x: 0.210226, y: 3.215345, orientation: 223.216660
MQTTExample/LED 0 x: 0.403803, y: 2.887338, orientation: 223.260025
MQTTExample/LED 0 x: 0.403803, y: 2.887338, orientation: 223.264954
MQTTExample/LED 0 x: 0.512965, y: 2.629067, orientation: 223.265060
MQTTExample/LED 0 x: 0.512965, y: 2.629067, orientation: 223.269180
MQTTExample/LED 0 x: 0.512965, y: 2.629067, orientation: 223.265335
MQTTExample/LED 0 x: 0.289136, y: 2.526230, orientation: 223.128021
MQTTExample/LED 0 x: 0.289136, y: 2.526230, orientation: 223.128891
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.116989
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.120926
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.130569
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.074249
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.071564
MQTTExample/LED 0 x: 0.041774, y: 2.581807, orientation: 223.066376
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.067291
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.074753
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.071579
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.062881
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.067871
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.065521
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.068985
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.035904
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.031143
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.028183
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.033417
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 223.033066
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 222.975357
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 222.972214
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 222.972076
MQTTExample/LED 0 x: -0.003590, y: 2.362349, orientation: 222.967972
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.971909
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.925171
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.922134
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.917236
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.921310
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.918884
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.757797
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.752838
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.757935
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.760666
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.765488
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.781662
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.779739
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.774017
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.782166
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.779175
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.815186
MQTTExample/LED 0 x: -0.010380, y: 2.138530, orientation: 222.825577
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 222.823776
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 222.826050
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 222.827652
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 222.823578
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 223.083664
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 223.088394
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 223.094315
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 223.086807
MQTTExample/LED 0 x: -0.092371, y: 1.945460, orientation: 223.088425
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.347733
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.338440
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.337418
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.352661
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.352188
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.677078
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.672348
MQTTExample/LED 0 x: -0.299065, y: 2.043403, orientation: 223.667709
rc: 0
